app,language,newcomparableid,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11,average_12,average_13,average_14,average_15,average_16,average_17,average_18,average_19,average_20,average_21
Ovia,uk,26com.ovuline.fertilityuk,0.04585516289421408,0.04141280096857913,0.020031974738675958,0.03528092235373313,0.1611321684672695,0.08218247074887412,0.022199709292582262,0.04247451316456937,0.02546234993160463,0.027608623699501022,0.13093009135994918,0.023185514376032407,0.04478757285572129,0.045126268369762246,0.027253063834802724,0.030240383428474994,0.028692283582874716,0.02666352220333084,0.02591802791122935,0.05371178309609167,0.032644560221323504,0.027206232500803913
Ladytimer,cs,20772com.ladytimer.ovulationcalendarcs,0.048155234271753083,0.041116513671998284,0.021519150660770318,0.0428294967489228,0.13079886704607904,0.09247399105689529,0.026519683105323544,0.05122594440760189,0.030311919788416113,0.026105603416726585,0.09657753752935182,0.025241619316164726,0.043591523600028687,0.04418276929025438,0.028462665077457837,0.03013926822612711,0.02904266233119431,0.03216632747269495,0.0280920000277773,0.057570189356691115,0.031941598826011344,0.04193543477175943
Period tracker by PinkBird,cs,35646co.quanyong.pinkbirdcs,0.03291487717387023,0.03948136051019827,0.020400044705099856,0.03380706613187133,0.11092510208945437,0.09601435007477518,0.028019146163438945,0.05042735318400843,0.028376669041158896,0.024684822735846844,0.15766286006927333,0.02505785384279955,0.042899998094917506,0.043736317710491635,0.026889530873853092,0.030790678218301167,0.028105588526216366,0.02990420591773635,0.02687976729816622,0.061676333443444996,0.030116564781262622,0.031229509413814877
Easy Period,es,51130com.imzhiqiang.periodes,0.03736594867130927,0.03848010504564697,0.03377305938568779,0.08892888990239269,0.08931934483748381,0.029659905419469373,0.03064911026173545,0.04050062681649251,0.06323333516728195,0.036835905461726895,0.08293700689337245,0.029307034346638696,0.030481674055212987,0.03454880850203609,0.03707889033322899,0.05734286626154941,0.028553365409690754,0.04610203475220386,0.06251869386948077,0.033509593087334845,0.029432978506220807,0.039440823013803646
Clue,uz,51392com.clue.androiduz,0.03543355714292413,0.04050196411925363,0.02518556032878438,0.052210756804023165,0.10058011651288716,0.08523130595595371,0.03161111821007983,0.04471194729254244,0.03812746871561926,0.02991411590490385,0.07963138782676055,0.02864790447302142,0.043489864037260566,0.045078919259731155,0.039790330458710166,0.03721711835040182,0.030117105365473004,0.03502390607710208,0.03531692401629039,0.05567659147947172,0.03951619206019984,0.04698584560860578
Period Tracker & Diary,tr,171605com.brc.PeriodTrackerDiarytr,0.033894847044118256,0.04109269565803698,0.0219004196509459,0.037591039015189454,0.11919172236189939,0.09551178361318283,0.028143755331707467,0.05498572068580918,0.030793816767393862,0.026884981143299885,0.12365238877611781,0.025800725088731224,0.04269477492458083,0.0442893442574681,0.028226782322426924,0.035416933656450836,0.028304335108264588,0.03158059773622738,0.027212628954126808,0.05436204077101468,0.031463205362313534,0.037005461770694054
Nurx,jv,176224com.nurxjv,0.026137325736031957,0.037445737258746406,0.016721041548930105,0.02473320180218629,0.3024685463770504,0.05427941148355253,0.020473884820328674,0.048125911428531745,0.027421848129029917,0.020143733900083644,0.047934660583156465,0.015810224690110664,0.03050983730566631,0.10971870618888087,0.01841768063906745,0.018585772702171856,0.01985562138464913,0.02054278325779463,0.019139059074358616,0.07658516892567052,0.020586138909251758,0.024363703854750063
Period tracker for women,az,177864com.wachanga.womancalendaraz,0.03496222011032671,0.03909554522526574,0.022135400291973244,0.04448676806202294,0.12477897311727082,0.08098730547592806,0.028483884896327038,0.06342472217147611,0.03146710441607873,0.027733359718295755,0.11239719950709902,0.026249887831033724,0.04204851739601158,0.0436129799976081,0.029996003214202826,0.03467665781329468,0.02755688028580416,0.03419925393762542,0.029360942638049496,0.058253800400306574,0.030046198782299274,0.03404639471170002
WomanLog,mt,192787com.womanlogmt,0.034199859965277205,0.04406903119122019,0.02325304709021853,0.04727270236165198,0.11959544814516948,0.08836827044046787,0.027037262116081137,0.05386889448918244,0.03264729335855028,0.02896840989611277,0.09286375921458843,0.02909167328779205,0.04318739572839872,0.04327004685240814,0.02957668760509519,0.03563718967533625,0.027865676146375563,0.032052307717569194,0.03693101339276857,0.049453582872353484,0.03193049123128191,0.04885995722210066
Period Tracker Lite,cs,225613com.period.tracker.litecs,0.03637745297016112,0.04006851947854857,0.0229650417081304,0.0454556071643708,0.1215934594024863,0.08155878328008924,0.027863966772190867,0.05436735873928302,0.03146190651198023,0.028030958551004487,0.09288777708964101,0.028439672085519212,0.04096257902083197,0.04849681144070218,0.029260480653497862,0.03283934734060591,0.027102330622971696,0.03396944623928156,0.029978376534371957,0.059397319315307506,0.031093388140691902,0.05582941693833219
Fertility Friend,cs,292820com.tamtris.fertilityfriendcs,0.05423935987534581,0.05122258157554461,0.02161691439897112,0.03815630641929061,0.15116916082910226,0.06884413253741717,0.024580908371753633,0.047616356427430825,0.02817408533792599,0.033453920907938264,0.08474559150539719,0.02502388059931496,0.04542891676032216,0.04127807649515874,0.03367269689635399,0.030625029480315848,0.025847943871391277,0.030121008925818427,0.0400164975570378,0.05069748476557891,0.037046200598814,0.03642294586377632
WOOM,es,302740com.woomfertility.woomappes,0.12322716543496506,0.033245824769491845,0.021368097308357613,0.04368651489203147,0.10161244892211885,0.11215339975718253,0.02528436088533233,0.03302294832209246,0.03678277149144198,0.02346911010861408,0.07355112292883632,0.023343387439365794,0.04520270226066685,0.03744476320513671,0.025691305160646254,0.027916671050821795,0.029934959879796937,0.03831005609436188,0.025933565106726942,0.04841622063496603,0.03756826343758128,0.03283434090946492
Tempdrop,pt,308552com.tempdrop.tempdropmobileapppt,0.03115263219945568,0.04130039598502091,0.020703809470867633,0.09166195462141313,0.14601551445547706,0.04834449872958672,0.022232832523128486,0.0571297879220865,0.045035190045959246,0.04796757864792639,0.06260580177873426,0.026523856242177644,0.039070885522806686,0.037622054160285134,0.029417161235990905,0.05131877217097382,0.026018467897374945,0.03269080669986631,0.029139355543974,0.049648425601732875,0.03218787943818954,0.0322123391069722
FEMM,el-Latn,309002org.femmhealth.femmel-Latn,0.03583480659230565,0.036794346812320376,0.023521549314204353,0.043232342350107686,0.1483855165168673,0.06641066790101804,0.027339411306744638,0.03611612630232439,0.028341875776946312,0.030261832240482213,0.09742283393561885,0.026537379896109766,0.04606153859659556,0.04380913456508693,0.03501685563287429,0.05703243517690085,0.02793757437149685,0.03279087973387587,0.027569416702888632,0.04302647008541846,0.05452028902155863,0.03203671716825433
GLOW,cs,309601com.glow.androidcs,0.032782702269243257,0.045917863445303665,0.01941237828216754,0.033534402693889666,0.16403921972512425,0.07249383661562243,0.023203290568803863,0.04219671049011074,0.024737296016247724,0.024792544686070003,0.1332380286805187,0.023859753909976793,0.04492096197330627,0.04741435558185659,0.02690853359103723,0.031327294607649644,0.027420964331304157,0.026154475658107582,0.030060454072954136,0.06686599594190383,0.031599380559223726,0.02711955629957818
Woman Log & Ovulation Tracker,cs,337198com.AvvaStyle.femalecalendarcs,0.03753599632674831,0.03778357788435771,0.01987487798868141,0.04703615854922463,0.17975933460742857,0.062398679271832985,0.025244690942656654,0.048311955277488446,0.034524886956388945,0.02682232195224617,0.08973631149164524,0.024843081742921772,0.036551183716218245,0.03781808910665991,0.03563853486548833,0.03344587381733565,0.023938930882585027,0.04411016987282096,0.03170736253398418,0.05499618488979583,0.02660548807255605,0.04131630925093499
Eve Period Tracker,bg,337360com.glow.android.evebg,0.025428854322220962,0.04680501280965112,0.02011829630675325,0.0349488782565887,0.18940304930723179,0.07519460876821842,0.02548311763225236,0.03933124866611699,0.028381294539657802,0.023422002154765652,0.1106057497641378,0.02470767765421012,0.045338419033495794,0.04629660948476376,0.025875589525173808,0.033511896547251806,0.0384168502702129,0.025455553989387345,0.030791417113108507,0.05216845123162185,0.03095001375626744,0.027365408866911918
Bellabeat,cs,352188org.nanobit.perioddiarycs,0.03153123008543613,0.037545919708018474,0.020933136140706052,0.04934606339965398,0.104719815781689,0.10375922405470639,0.0257401342201474,0.0629618396617835,0.027193298401178925,0.028207212807637595,0.12884050269429576,0.02661121407527148,0.041779140914070506,0.04913079947396779,0.02787847903560831,0.031902350231273593,0.02510905290278587,0.03190324329730871,0.029360706659197666,0.05109074165221131,0.028718247356987917,0.03573764744606358
Period Tracker,uk,383278com.cg.android.ptrackeruk,0.01999698395776,0.03752546854868522,0.01395005447077909,0.026164210246378435,0.10625256798146876,0.06645158211578807,0.01864133813620359,0.05040189640495043,0.017157981204996026,0.018783523065206205,0.34766982065443963,0.01909594292410425,0.03211949809834088,0.039671526496947475,0.016979072754212718,0.025869968234199882,0.020368808293217758,0.019955327256372675,0.01986570548507487,0.044406299048019085,0.01820631705393937,0.020466107568915537
Maya,hu,390497in.plackal.lovecyclesfreehu,0.03408108220230652,0.045873420950086154,0.024496752803133827,0.04957887185641915,0.1084981098132067,0.07398136382189413,0.02722749877824487,0.052827874287037446,0.03470434932295444,0.0298514885673636,0.08548570042687254,0.028093832108938434,0.04390130080483688,0.04235256827393653,0.034577873959329805,0.0363431510578553,0.032471082916073785,0.03175522625782474,0.03129216709174157,0.05634785936836776,0.03597991488285884,0.06027851044871694
Natural Cycles,bg,429055com.naturalcycles.cordovabg,0.05126058019711556,0.03184618058676414,0.026442872087821985,0.042464910383747625,0.0857763596729173,0.040013526732652266,0.02291465423992375,0.039055954555927606,0.053005529662932406,0.028327592344729112,0.08248680028070418,0.022053989738027722,0.03542443487383503,0.02959081773839292,0.03280838128337772,0.03367880682152649,0.02432540844527438,0.030641759857467945,0.030834882382344553,0.03644429072586515,0.17502728839804862,0.045574978990603504
OvaGraph,co,437370com.fairhavenhealth.ovagraphco,0.027716816633064897,0.02880770095781913,0.01932018963803858,0.04127118760428589,0.21473720585962422,0.03355021972966699,0.01755647854707957,0.05329393227455395,0.024691833221064115,0.030263951328963794,0.17855296223346548,0.023271815978612234,0.0313342667581632,0.028501429463092563,0.024357030282098267,0.04937962435164867,0.021418565343757277,0.02371733252526336,0.026393453561884606,0.05516405500066761,0.023382281668128373,0.023317667039057195
Ava fertility tracker,cy,438635com.avawomen.com.ava_android.productioncy,0.06017199708196946,0.03261322223089737,0.027522713249947057,0.08890875925330895,0.11489589120413302,0.040678349068514974,0.02531916797364533,0.030739213726172113,0.08167896297401489,0.037210144884507745,0.06391182629930126,0.023772807604013516,0.035615825767572516,0.030214709039834996,0.038477663721625234,0.04160253097759239,0.02700373358757536,0.04526473675881567,0.03127973931573121,0.04880314234243054,0.03895757395503925,0.035357288983357105
Kindara,la,440417com.kindara.pgapla,0.05033092365488815,0.04205275757234542,0.023271261379835245,0.05547877947906756,0.15879477558472724,0.06193644819564164,0.023115689848375868,0.05554460232985317,0.02948837197313035,0.04090876832577367,0.06969359533933005,0.025041775242213887,0.04249979843678422,0.03521019653552815,0.03432794015417004,0.03445087490983055,0.024761860476299902,0.028874784257271635,0.03809375961614855,0.040045912338899425,0.0451816253769036,0.04089549897298174
Flo,az,449619org.iggymedia.periodtrackeraz,0.042574912292599,0.04040807476131543,0.02559070265702674,0.045503250942239316,0.10302620059289078,0.0790887483290015,0.029196328570100696,0.04443342549987634,0.04420510851730088,0.0298554806629226,0.07637208067199974,0.02934098942033794,0.04545388604692677,0.03830651463555156,0.03477568133343102,0.03869011744031603,0.03219249245172558,0.03446484689223642,0.05450944935568358,0.05153474757036649,0.03932655611719143,0.04115040523896024
